State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
The United States,"70,020","68,870","70,020","68,350","68,310","69,310","70,080","71,210","68,780","68,340","66,730","65,750","65,740","68,220","67,360","71,000","73,520","74,810","75,790","81,210","79,560","79,260","77,540","80,610"
Alabama,"59,070","57,340","59,070","58,790","60,570","55,580","55,180","59,840","60,810","54,890","55,440","55,940","56,010","60,250","53,070","55,920","58,800","62,250","59,900","66,430","63,980","63,750","62,290","60,660"
Alaska,"88,130","93,550","88,130","81,790","85,010","83,620","82,020","89,290","87,500","84,570","78,340","75,440","82,020","92,270","84,900","94,360","94,290","95,440","82,450","92,670","87,440","90,850","93,310","98,190"
Arizona,"66,340","69,640","66,340","64,960","64,000","67,690","67,830","66,930","64,150","62,790","63,510","63,860","60,620","66,980","61,830","65,640","71,100","73,060","74,710","83,540","78,480","79,310","76,370","82,660"
Arkansas,"49,520","54,370","49,520","50,500","52,170","54,840","53,880","57,830","54,130","50,160","52,260","54,250","50,280","50,130","56,390","53,770","57,170","60,880","59,720","64,470","59,400","56,870","56,120","63,250"
California,"78,070","77,080","78,070","77,790","76,410","77,430","80,430","79,000","77,960","77,070","73,520","70,100","73,480","77,400","75,930","79,940","82,980","85,710","84,560","92,330","90,840","91,350","88,690","89,870"
Colorado,"80,450","80,560","80,450","78,800","77,790","75,470","80,970","86,670","83,330","76,790","81,570","77,010","73,780","86,470","76,500","83,660","87,870","91,760","87,610","85,700","98,010","95,130","93,510","96,640"
Connecticut,"83,670","87,000","83,670","86,730","86,000","85,030","90,730","90,920","88,440","89,030","89,380","85,920","82,790","88,220","88,080","91,570","94,540","90,930","87,340","103,200","92,930","90,660","94,340","92,240"
Delaware,"83,990","80,890","83,990","77,350","79,980","76,650","76,240","77,380","69,330","71,550","74,780","71,800","63,110","68,870","72,210","72,560","72,280","79,500","77,990","87,700","81,920","76,920","83,960","86,340"
District of Columbia,"68,740","67,140","68,740","71,080","62,930","67,310","70,480","71,980","76,010","72,960","77,100","72,570","84,080","76,460","85,710","88,030","88,390","99,470","102,900","110,100","103,200","101,500","105,700","111,000"
Florida,"64,800","59,400","64,800","61,490","61,250","64,310","66,410","64,910","61,340","62,650","59,680","59,250","59,370","61,790","57,920","61,340","63,730","64,960","65,550","69,000","67,570","66,890","67,960","72,200"
Georgia,"69,880","69,440","69,880","66,960","69,170","68,710","71,740","68,950","63,210","59,500","59,750","60,390","62,010","59,830","62,210","63,780","66,650","70,960","66,960","66,940","69,330","68,860","70,420","72,420"
Hawaii,"85,960","77,370","85,960","81,790","76,200","89,140","87,910","90,750","84,120","76,400","80,630","77,560","72,500","81,780","89,410","81,050","89,820","90,070","96,100","104,000","94,560","92,050","94,620","97,360"
Idaho,"62,720","62,370","62,720","66,860","60,750","66,090","67,190","69,720","64,840","64,220","63,720","62,340","61,750","61,710","67,080","64,850","70,440","72,810","70,450","78,000","78,060","86,130","75,460","73,910"
Illinois,"76,820","75,300","76,820","71,250","68,800","72,410","70,760","74,430","72,820","72,580","68,700","66,510","66,670","68,670","68,940","75,900","76,440","80,730","84,140","87,950","86,960","88,750","81,120","87,820"
Indiana,"68,150","65,850","68,150","66,940","66,120","63,490","66,010","67,260","63,610","60,830","62,490","58,380","59,480","62,970","60,330","65,310","69,850","71,920","71,850","78,840","78,150","78,600","72,810","76,910"
Iowa,"68,360","66,830","68,360","65,300","66,120","69,570","69,970","69,330","68,560","69,630","66,380","65,960","68,870","76,590","72,570","76,450","73,590","77,670","82,430","78,080","80,510","81,110","79,350","80,860"
Kansas,"68,470","67,540","68,470","69,790","68,650","62,870","66,230","68,740","65,470","61,390","62,370","60,610","64,440","60,880","67,090","68,930","70,740","69,630","76,700","86,470","85,500","85,080","75,950","84,830"
Kentucky,"60,480","62,690","60,480","58,280","59,220","54,900","57,410","55,920","56,260","58,570","55,670","52,350","52,940","57,140","53,710","53,250","56,500","60,790","65,440","65,800","66,400","62,290","58,090","61,980"
Louisiana,"51,230","54,340","51,230","52,870","54,780","55,710","53,050","58,560","54,100","62,370","53,220","53,400","50,370","59,110","53,230","57,690","52,540","53,310","59,950","61,120","59,880","64,060","60,640","57,650"
Maine,"62,150","59,710","62,150","58,560","59,360","65,710","66,360","67,890","64,580","65,210","64,910","65,270","63,350","69,970","64,910","63,760","63,330","65,240","70,370","78,660","74,510","79,660","78,150","75,740"
Maryland,"90,950","87,300","90,950","82,550","90,860","90,530","92,560","93,030","87,120","88,120","86,950","90,470","92,570","88,300","95,610","92,450","91,850","100,500","103,400","113,000","110,900","109,000","112,500","102,000"
Massachusetts,"77,970","85,220","77,970","80,400","80,310","83,800","80,440","82,870","82,480","81,510","82,520","83,160","82,030","79,610","79,280","85,250","89,990","93,300","103,600","103,700","102,700","96,940","97,260","106,500"
Michigan,"75,900","73,470","75,900","71,040","68,810","68,720","70,730","69,980","68,080","63,140","62,670","64,200","64,450","72,020","65,280","68,090","71,090","69,030","72,510","75,790","75,330","72,210","71,730","76,960"
Minnesota,"90,470","85,920","90,470","83,350","87,980","81,110","81,720","82,300","75,100","77,000","70,860","75,950","79,630","81,900","84,410","86,340","87,440","85,630","86,150","96,250","92,130","90,080","93,980","90,340"
Mississippi,"57,200","49,190","57,200","51,640","49,740","49,180","50,500","52,840","49,830","48,160","51,680","53,970","47,220","41,170","44,590","50,300","51,180","52,960","51,320","52,940","52,800","52,230","50,540","55,060"
Missouri,"75,210","67,420","75,210","69,050","68,900","64,310","64,810","65,210","62,950","66,950","62,050","60,120","64,130","58,950","71,090","74,370","68,510","69,180","74,050","71,630","72,740","71,210","74,360","78,290"
Montana,"54,660","52,390","54,660","53,820","56,110","55,820","59,760","61,880","58,660","55,520","55,910","52,900","58,100","55,000","64,150","64,570","71,070","70,250","69,190","71,150","66,380","72,790","75,870","79,220"
Nebraska,"69,620","71,120","69,620","69,390","68,940","71,690","70,000","69,700","69,360","68,090","71,110","73,050","67,260","73,370","71,390","75,970","73,930","72,910","81,060","86,370","84,520","87,470","81,480","89,190"
Nevada,"76,310","74,050","76,310","71,300","72,420","72,120","76,010","76,630","74,850","70,610","69,340","61,790","61,000","66,010","62,610","65,340","69,020","71,030","74,210","83,820","71,550","72,050","75,200","81,310"
New Hampshire,"84,930","83,710","84,930","87,680","89,110","85,250","90,090","95,790","90,490","88,040","90,240","86,530","87,390","87,980","92,140","95,070","94,960","92,550","97,580","102,700","104,000","99,490","88,350","98,780"
New Jersey,"84,060","84,430","84,060","88,430","87,900","94,800","98,950","85,770","89,300","88,930","85,280","81,880","85,940","81,170","81,900","85,880","85,260","87,180","88,980","103,700","100,100","99,170","96,010","91,590"
New Mexico,"58,520","54,020","58,520","55,390","57,110","58,270","58,190","62,870","57,570","59,780","61,120","55,140","55,960","51,140","58,610","56,680","60,330","55,800","57,920","62,780","59,550","59,870","58,660","60,980"
New York,"67,950","68,680","67,950","67,520","67,600","70,580","70,110","69,380","69,000","68,940","67,420","66,510","61,440","63,620","68,180","72,870","76,500","75,310","80,700","84,940","80,320","81,660","78,920","81,600"
North Carolina,"63,900","62,240","63,900","58,820","58,820","62,920","57,860","61,680","58,700","57,530","59,360","59,380","53,550","59,000","58,730","63,820","66,950","60,630","64,020","72,290","70,700","70,430","67,660","68,610"
North Dakota,"60,030","58,370","60,030","63,760","58,310","63,120","59,680","66,910","67,860","68,750","69,080","74,030","71,860","75,310","76,240","72,130","74,940","73,630","79,780","82,780","75,010","77,140","81,840","76,960"
Ohio,"71,650","68,150","71,650","68,670","68,760","66,130","66,730","69,600","64,180","62,990","62,140","58,650","57,180","64,610","62,320","66,960","67,220","74,270","73,930","76,440","70,640","70,200","70,200","73,770"
Oklahoma,"54,090","58,070","54,090","56,650","58,730","56,320","56,460","61,260","63,050","62,990","58,370","63,650","62,380","58,770","59,250","59,140","63,440","63,490","65,300","70,210","61,380","67,300","65,960","67,330"
Oregon,"70,870","67,310","70,870","65,700","67,330","66,060","68,460","71,210","70,730","67,410","68,530","67,680","66,720","62,390","73,910","76,420","73,640","76,480","82,970","87,960","89,910","91,660","90,230","88,740"
Pennsylvania,"70,330","70,940","70,330","67,740","68,460","69,270","70,480","68,660","70,290","66,130","65,430","65,560","66,890","70,220","69,260","75,870","75,930","75,000","77,400","83,430","82,810","81,330","75,070","79,820"
Rhode Island,"70,370","74,570","70,370","70,550","68,330","74,030","78,120","76,840","72,800","70,890","69,910","64,410","72,250","71,710","73,600","69,980","76,620","80,030","74,690","82,920","93,790","83,970","83,860","81,860"
South Carolina,"62,650","61,540","62,650","60,720","60,910","60,190","57,600","62,670","57,640","56,430","56,470","52,650","57,220","55,460","56,400","58,240","67,660","66,740","68,910","73,320","70,590","70,040","64,220","69,100"
South Dakota,"60,830","64,700","60,830","62,360","61,010","64,560","66,040","65,800","70,560","62,910","61,420","62,030","63,680","68,010","66,600","69,180","71,540","69,650","71,330","75,950","82,110","82,750","69,850","81,740"
Tennessee,"56,860","58,360","56,860","59,210","59,650","58,950","59,160","58,390","54,290","55,630","52,260","55,530","55,400","55,210","54,880","59,460","63,940","67,680","67,250","66,940","64,310","69,610","67,980","72,700"
Texas,"64,390","66,640","64,390","61,970","64,670","61,970","62,960","65,280","63,570","65,180","64,010","64,420","66,910","65,450","67,630","70,950","72,410","73,540","71,720","79,720","80,020","75,480","77,600","79,060"
Utah,"79,300","77,210","79,300","77,750","77,090","82,000","79,420","75,880","85,510","80,300","76,790","72,890","75,180","77,730","79,570","83,240","84,030","85,400","92,450","99,910","98,260","98,150","99,610","101,200"
